make,vehicle.age,passengers,cause
Other,1,0,Not_tyre
Other,1,0,Not_tyre
Other,1,0,Not_tyre
Other,1,0,Not_tyre
Other,1,0,Not_tyre
Other,1,3,Not_tyre
Other,1,0,Not_tyre
Other,1,2,Not_tyre
Other,1,0,Not_tyre
Other,1,2,Not_tyre
Other,1,0,Not_tyre
Other,1,0,Not_tyre
Other,1,1,Not_tyre
Other,1,0,Not_tyre
Other,1,0,Not_tyre
Other,1,1,Not_tyre
Other,1,3,Not_tyre
Other,1,2,Not_tyre
Other,1,0,Not_tyre
Other,1,3,Not_tyre
Other,1,0,Not_tyre
Other,1,2,Not_tyre
Other,1,0,Not_tyre
Other,1,1,Not_tyre
Other,1,1,Not_tyre
Other,1,0,Not_tyre
Other,1,0,Not_tyre
Other,1,0,Not_tyre
Other,1,1,Not_tyre
Other,1,1,Not_tyre
Other,1,0,Not_tyre
Other,1,0,Not_tyre
Other,1,1,Not_tyre
Other,1,3,Not_tyre
Other,1,6,Not_tyre
Other,1,0,Not_tyre
Other,1,0,Not_tyre
Other,1,1,Not_tyre
Other,1,0,Not_tyre
Other,1,0,Not_tyre
Other,1,1,Not_tyre
Other,1,0,Not_tyre
Other,1,1,Not_tyre
Other,1,5,Not_tyre
Other,1,1,Not_tyre
Other,1,3,Not_tyre
Other,1,0,Not_tyre
Other,1,3,Not_tyre
Other,1,0,Not_tyre
Other,1,0,Not_tyre
Other,1,0,Not_tyre
Other,1,0,Not_tyre
Other,1,1,Not_tyre
Other,1,0,Not_tyre
Other,1,1,Not_tyre
Other,1,1,Not_tyre
Other,1,1,Not_tyre
Other,1,0,Not_tyre
Other,1,2,Not_tyre
Other,1,0,Not_tyre
Other,1,0,Not_tyre
Other,1,0,Not_tyre
Other,1,2,Not_tyre
Other,1,2,Not_tyre
Other,1,0,Not_tyre
Other,1,2,Not_tyre
Other,1,0,Not_tyre
Other,1,1,Not_tyre
Other,1,0,Not_tyre
Other,1,0,Not_tyre
Other,1,1,Not_tyre
Other,1,3,Not_tyre
Other,1,1,Not_tyre
Other,1,1,Not_tyre
Other,1,1,Not_tyre
Other,1,1,Not_tyre
Other,1,0,Not_tyre
Other,1,3,Not_tyre
Other,1,1,Not_tyre
Other,1,1,Not_tyre
Other,1,0,Not_tyre
Other,1,0,Not_tyre
Other,1,2,Not_tyre
Other,1,4,Not_tyre
Other,1,1,Not_tyre
Other,1,1,Not_tyre
Other,1,2,Not_tyre
Other,1,0,Not_tyre
Other,1,0,Not_tyre
Other,1,0,Not_tyre
Other,1,0,Not_tyre
Other,1,2,Not_tyre
Other,1,0,Not_tyre
Other,1,0,Not_tyre
Other,1,4,Not_tyre
Other,1,1,Not_tyre
Other,1,4,Not_tyre
Other,1,4,Not_tyre
Other,1,0,Not_tyre
Other,1,0,Not_tyre
Other,1,0,Not_tyre
Other,1,2,Not_tyre
Other,1,1,Not_tyre
Other,1,1,Not_tyre
Other,1,0,Not_tyre
Ford,1,3,Not_tyre
Ford,1,3,Not_tyre
Ford,1,4,Not_tyre
Ford,1,0,Not_tyre
Ford,1,0,Not_tyre
Ford,1,3,Not_tyre
Ford,1,0,Not_tyre
Ford,1,0,Not_tyre
Ford,1,6,Not_tyre
Ford,1,0,Not_tyre
Ford,1,1,Not_tyre
Ford,1,0,Not_tyre
Ford,1,0,Not_tyre
Ford,1,5,Not_tyre
Ford,1,3,Not_tyre
Ford,1,0,Not_tyre
Ford,1,0,Not_tyre
Ford,1,1,Not_tyre
Ford,1,1,Not_tyre
Ford,1,0,Not_tyre
Ford,1,0,Not_tyre
Ford,1,0,Not_tyre
Ford,1,0,Not_tyre
Ford,1,2,Not_tyre
Ford,1,1,Not_tyre
Ford,1,2,Not_tyre
Ford,1,1,Not_tyre
Ford,1,2,Not_tyre
Ford,1,1,Not_tyre
Ford,1,0,Not_tyre
Other,2,2,Not_tyre
Other,2,1,Not_tyre
Other,2,0,Not_tyre
Other,2,0,Not_tyre
Other,2,1,Not_tyre
Other,2,0,Not_tyre
Other,2,0,Not_tyre
Other,2,0,Not_tyre
Other,2,0,Not_tyre
Other,2,7,Not_tyre
Other,2,0,Not_tyre
Other,2,3,Not_tyre
Other,2,1,Not_tyre
Other,2,0,Not_tyre
Other,2,2,Not_tyre
Other,2,2,Not_tyre
Other,2,0,Not_tyre
Other,2,0,Not_tyre
Other,2,0,Not_tyre
Other,2,0,Not_tyre
Other,2,3,Not_tyre
Other,2,1,Not_tyre
Other,2,0,Not_tyre
Other,2,0,Not_tyre
Other,2,2,Not_tyre
Other,2,1,Not_tyre
Other,2,0,Not_tyre
Other,2,0,Not_tyre
Other,2,0,Not_tyre
Other,2,4,Not_tyre
Other,2,1,Not_tyre
Other,2,0,Not_tyre
Other,2,4,Not_tyre
Other,2,1,Not_tyre
Other,2,1,Not_tyre
Other,2,1,Not_tyre
Other,2,0,Not_tyre
Other,2,0,Not_tyre
Other,2,0,Not_tyre
Other,2,2,Not_tyre
Other,2,0,Not_tyre
Other,2,0,Not_tyre
Other,2,0,Not_tyre
Other,2,0,Not_tyre
Other,2,0,Not_tyre
Other,2,0,Not_tyre
Other,2,0,Not_tyre
Other,2,0,Not_tyre
Other,2,0,Not_tyre
Other,2,3,Not_tyre
Other,2,0,Not_tyre
Other,2,0,Not_tyre
Other,2,2,Not_tyre
Other,2,1,Not_tyre
Other,2,2,Not_tyre
Other,2,0,Not_tyre
Other,2,0,Not_tyre
Other,2,1,Not_tyre
Other,2,1,Not_tyre
Other,2,0,Not_tyre
Other,2,0,Not_tyre
Other,2,0,Not_tyre
Other,2,2,Not_tyre
Other,2,0,Not_tyre
Other,2,0,Not_tyre
Other,2,1,Not_tyre
Other,2,0,Not_tyre
Other,2,1,Not_tyre
Other,2,0,Not_tyre
Other,2,0,Not_tyre
Other,2,0,Not_tyre
Other,2,2,Not_tyre
Other,2,0,Not_tyre
Other,2,2,Not_tyre
Other,2,0,Not_tyre
Other,2,0,Not_tyre
Other,2,0,Not_tyre
Other,2,0,Not_tyre
Other,2,3,Not_tyre
Other,2,1,Not_tyre
Other,2,2,Not_tyre
Other,2,1,Not_tyre
Other,2,2,Not_tyre
Other,2,1,Not_tyre
Other,2,2,Not_tyre
Other,2,1,Not_tyre
Other,2,1,Not_tyre
Other,2,0,Not_tyre
Other,2,1,Not_tyre
Other,2,1,Not_tyre
Other,2,1,Not_tyre
Other,2,0,Not_tyre
Other,2,0,Not_tyre
Other,2,2,Not_tyre
Other,2,1,Not_tyre
Other,2,1,Not_tyre
Other,2,0,Not_tyre
Other,2,0,Not_tyre
Other,2,0,Not_tyre
Other,2,3,Not_tyre
Other,2,0,Not_tyre
Other,2,1,Not_tyre
Other,2,1,Not_tyre
Other,2,1,Not_tyre
Other,2,3,Not_tyre
Other,2,0,Not_tyre
Other,2,1,Not_tyre
Other,2,6,Not_tyre
Other,2,2,Not_tyre
Other,2,0,Not_tyre
Other,2,1,Not_tyre
Other,2,1,Not_tyre
Other,2,1,Not_tyre
Other,2,1,Not_tyre
Other,2,0,Not_tyre
Other,2,0,Not_tyre
Other,2,0,Not_tyre
Other,2,0,Not_tyre
Other,2,7,Not_tyre
Other,2,1,Not_tyre
Other,2,2,Not_tyre
Other,2,0,Not_tyre
Other,2,1,Not_tyre
Other,2,3,Not_tyre
Other,2,2,Not_tyre
Other,2,2,Not_tyre
Other,2,3,Not_tyre
Other,2,11,Not_tyre
Other,2,0,Not_tyre
Other,2,5,Not_tyre
Ford,2,3,Not_tyre
Ford,2,2,Not_tyre
Ford,2,1,Not_tyre
Ford,2,4,Not_tyre
Ford,2,1,Not_tyre
Ford,2,0,Not_tyre
Ford,2,0,Not_tyre
Ford,2,2,Not_tyre
Ford,2,1,Not_tyre
Ford,2,0,Not_tyre
Ford,2,1,Not_tyre
Ford,2,1,Not_tyre
Ford,2,3,Not_tyre
Ford,2,1,Not_tyre
Ford,2,3,Not_tyre
Ford,2,0,Not_tyre
Ford,2,0,Not_tyre
Ford,2,0,Not_tyre
Ford,2,0,Not_tyre
Ford,2,1,Not_tyre
Ford,2,0,Not_tyre
Ford,2,1,Not_tyre
Ford,2,0,Not_tyre
Ford,2,0,Not_tyre
Ford,2,3,Not_tyre
Ford,2,0,Not_tyre
Ford,2,0,Not_tyre
Ford,2,0,Not_tyre
Ford,2,1,Not_tyre
Ford,2,0,Not_tyre
Other,3,2,Not_tyre
Other,3,0,Not_tyre
Other,3,1,Not_tyre
Other,3,0,Not_tyre
Other,3,0,Not_tyre
Other,3,3,Not_tyre
Other,3,1,Not_tyre
Other,3,0,Not_tyre
Other,3,0,Not_tyre
Other,3,0,Not_tyre
Other,3,0,Not_tyre
Other,3,1,Not_tyre
Other,3,0,Not_tyre
Other,3,1,Not_tyre
Other,3,0,Not_tyre
Other,3,2,Not_tyre
Other,3,0,Not_tyre
Other,3,0,Not_tyre
Other,3,2,Not_tyre
Other,3,1,Not_tyre
Other,3,0,Not_tyre
Other,3,0,Not_tyre
Other,3,4,Not_tyre
Other,3,0,Not_tyre
Other,3,0,Not_tyre
Other,3,0,Not_tyre
Other,3,2,Not_tyre
Other,3,0,Not_tyre
Other,3,0,Not_tyre
Other,3,0,Not_tyre
Other,3,2,Not_tyre
Other,3,0,Not_tyre
Other,3,1,Not_tyre
Other,3,0,Not_tyre
Other,3,0,Not_tyre
Other,3,1,Not_tyre
Other,3,0,Not_tyre
Other,3,0,Not_tyre
Other,3,0,Not_tyre
Other,3,0,Not_tyre
Other,3,2,Not_tyre
Other,3,1,Not_tyre
Other,3,1,Not_tyre
Other,3,2,Tyre
Other,3,1,Not_tyre
Other,3,3,Not_tyre
Other,3,3,Not_tyre
Other,3,0,Not_tyre
Other,3,0,Not_tyre
Other,3,1,Not_tyre
Other,3,0,Not_tyre
Other,3,0,Not_tyre
Other,3,0,Not_tyre
Other,3,0,Not_tyre
Other,3,0,Not_tyre
Other,3,1,Not_tyre
Other,3,0,Not_tyre
Other,3,0,Not_tyre
Other,3,0,Not_tyre
Other,3,1,Not_tyre
Other,3,0,Not_tyre
Other,3,0,Not_tyre
Other,3,2,Not_tyre
Other,3,0,Not_tyre
Other,3,0,Not_tyre
Other,3,0,Not_tyre
Other,3,1,Not_tyre
Other,3,0,Not_tyre
Other,3,0,Not_tyre
Other,3,1,Not_tyre
Other,3,0,Not_tyre
Other,3,1,Not_tyre
Other,3,0,Not_tyre
Other,3,2,Not_tyre
