model	type	series	location	production line	year	quarter	month	actual value	pred1w	pred2w	pred3w	pred4w	pred5w	pred6w
Y750CC	Y	750	CC	consumer	2014	Q1	1	100178	106694	106694	106694	116014	112956	120434
Y750CC	Y	750	CC	consumer	2014	Q1	2	16896	39819	39369	39369	48500	50240	56092
Y750CC	Y	750	CC	consumer	2014	Q1	3	30497	34997	51449	51569	51798	52081	46648
Y750CC	Y	750	CC	consumer	2014	Q2	4	113884	131615	131975	134090	132498	135941	125680
Y750CC	Y	750	CC	consumer	2014	Q2	5	60592	60142	90142	81892	90315	90346	95695
Y750CC	Y	750	CC	consumer	2014	Q2	6	50082	60276	60996	68538	54238	45478	47512
Y750CC	Y	750	CC	consumer	2014	Q3	7	15744	17084	17084	25775	24587	20307	10293
Y750CC	Y	750	CC	consumer	2014	Q3	8	2810	13925	13925	18281	18281	16421	16211
Y750CC	Y	750	CC	consumer	2014	Q3	9	9012	13032	24663	23121	23361	26256	15145
Y750CC	Y	750	CC	consumer	2014	Q4	10	4131	16851	16851	18246	18246	13986	2735
Y750CC	Y	750	CC	consumer	2014	Q4	11	10395	14115	14115	14115	14115	1395	1395
Y750VC	Y	750	VC	consumer	2014	Q1	1	10450	10660	10660	10660	32660	32330	41321
Y750VC	Y	750	VC	consumer	2014	Q1	2	18180	23780	33260	33260	47235	41651	46697
Y750VC	Y	750	VC	consumer	2014	Q1	3	7730	10430	10940	10940	11720	12520	12955
Y750VC	Y	750	VC	consumer	2014	Q2	4	36750	51220	51220	46420	51400	50830	50520
Y750VC	Y	750	VC	consumer	2014	Q2	5	29240	29240	29300	30380	30380	30380	15910
Y750VC	Y	750	VC	consumer	2014	Q2	6	12010	12310	12580	14000	14000	13940	12860
Y750VC	Y	750	VC	consumer	2014	Q3	7				4000	4500	4500	1720
Y750VC	Y	750	VC	consumer	2014	Q3	8	4000	4000	4000	4000	4000	4000	4000
Y951LA	Y	951	LA	consumer	2014	Q1	1	0	0	0	0	0	0	0
Y951LA	Y	951	LA	consumer	2014	Q1	2	0	2808	2808	2808	2753	3114	3117
Y951LA	Y	951	LA	consumer	2014	Q1	3	4359	4359	7977	7977	8420	9218	6563
Y951LA	Y	951	LA	consumer	2014	Q2	4	3860	6576	6576	8552	7949	8993	5325
Y951LA	Y	951	LA	consumer	2014	Q2	5	2756	2756	4538	4538	4885	5411	4527
Y951LA	Y	951	LA	consumer	2014	Q2	6	5043	8475	8475	9857	10578	9147	10091
Y951LA	Y	951	LA	consumer	2014	Q3	7	9735	12340	12340	12627	12786	14025	11484
Y951LA	Y	951	LA	consumer	2014	Q3	8	4751	6060	6060	6060	6816	5267	6044
Y951LA	Y	951	LA	consumer	2014	Q3	9	5435	6015	7554	7554	7554	10084	10502
Y951LA	Y	951	LA	consumer	2014	Q4	10	5649	6470	6470	7285	7694	7627	5898
Y951LA	Y	951	LA	consumer	2014	Q4	11	5464	7813	7813	7779	6949	6673	5952
Y951LD	Y	951	LD	consumer	2014	Q1	1	919	4115	4115	4115	6134	6134	7000
Y951LD	Y	951	LD	consumer	2014	Q1	2	3637	14421	14529	14529	11480	11676	12586
Y951LD	Y	951	LD	consumer	2014	Q1	3	26175	26175	32434	32434	32914	32574	23647
Y951LD	Y	951	LD	consumer	2014	Q2	4	28674	34040	34040	36712	36844	40147	34147
Y951LD	Y	951	LD	consumer	2014	Q2	5	12526	12526	23417	23903	24442	24584	21874
Y951LD	Y	951	LD	consumer	2014	Q2	6	25132	35471	35471	35821	40800	31009	32814
Y951LD	Y	951	LD	consumer	2014	Q3	7	30484	34878	34878	34131	36394	38595	28772
Y951LD	Y	951	LD	consumer	2014	Q3	8	25112	35271	33975	33975	36516	34255	36237
Y951LD	Y	951	LD	consumer	2014	Q3	9	34863	38260	47839	47583	48157	55993	51907
Y951LD	Y	951	LD	consumer	2014	Q4	10	41066	49397	49397	50495	51678	48119	38688
Y951LD	Y	951	LD	consumer	2014	Q4	11	26489	36922	36922	36648	36696	28082	28593
C751LA	C	751	LA	commercial	2014	Q1	1	0	0	0	0	0		
C751LA	C	751	LA	commercial	2014	Q1	2	9	0	0	0	0	0	0
C751LA	C	751	LA	commercial	2014	Q1	3	0	0	438	438	910	1367	1406
C751LA	C	751	LA	commercial	2014	Q2	4	68	1005	1005	1105	1147	0	840
C751LA	C	751	LA	commercial	2014	Q2	5	935	935	1488	1488	1546	1560	681
C751LA	C	751	LA	commercial	2014	Q2	6	554	680	680	1072	1588	742	924
C751LA	C	751	LA	commercial	2014	Q3	7	546	826	826	1086	1252	1469	1485
C751LA	C	751	LA	commercial	2014	Q3	8	371	511	511	634	834	555	555
C751LA	C	751	LA	commercial	2014	Q3	9	177	177	485	485	485	1017	1149
C751LA	C	751	LA	commercial	2014	Q4	10	202	438	487	562	589	561	253
C751LA	C	751	LA	commercial	2014	Q4	11	147	397	397	600	684	673	1269
C751LG	C	751	LG	commercial	2014	Q1	1	0	0	0	0	0		
C751LG	C	751	LG	commercial	2014	Q1	2	11	755	755	755	755	755	755
C751LG	C	751	LG	commercial	2014	Q1	3	0	0	979	979	1346	1755	1000
C751LG	C	751	LG	commercial	2014	Q2	4	0	1552	1552	1702	1879	1941	1008
C751LG	C	751	LG	commercial	2014	Q2	5	1010	1010	1242	1242	1186	1399	493
C751LG	C	751	LG	commercial	2014	Q2	6	730	915	915	1111	1164	854	928
C751LG	C	751	LG	commercial	2014	Q3	7	467	811	811	885	740	817	657
C751LG	C	751	LG	commercial	2014	Q3	8	293	663	663	755	755	314	331
C751LG	C	751	LG	commercial	2014	Q3	9	647	647	1023	1023	1023	1174	782
C751LG	C	751	LG	commercial	2014	Q4	10	517	907	935	955	976	976	600
